Summary,Start Time,End Time
Evening stroll along Gwangalli Beach,2024-06-11T12:00:00Z,2024-06-11T13:00:00Z
Dinner: Savor a traditional Korean dinner,2024-06-11T10:00:00Z,2024-06-11T12:00:00Z
Surfing at Surfyy Beach,2024-06-11T06:00:00Z,2024-06-11T10:00:00Z
Lunch: Enjoy a seafood lunch nearby the beach,2024-06-11T03:30:00Z,2024-06-11T06:00:00Z
Swimming and sunbathing at Haeundae Beach,2024-06-11T01:00:00Z,2024-06-11T03:30:00Z
Breakfast: Start the day with a hearty breakfast,2024-06-10T23:00:00Z,2024-06-11T01:00:00Z
Dinner: Enjoy a farewell dinner with local Busan dishes,2024-06-12T10:00:00Z,2024-06-12T11:00:00Z
Strolling through Gamcheon Culture Village,2024-06-12T06:00:00Z,2024-06-12T10:00:00Z
Lunch: Indulge in a delicious seafood lunch,2024-06-12T03:30:00Z,2024-06-12T06:00:00Z
Exploring Jagalchi Market,2024-06-12T01:00:00Z,2024-06-12T03:30:00Z
Breakfast: Start the day with a light breakfast,2024-06-11T23:00:00Z,2024-06-12T01:00:00Z
